IdSerie,Titre,Style,Commentaire,NoteGlobale,Planche,IdBEL,Langue
1,Incal (L'),Science-fiction,NULL,NULL,IncalP.jpg,15,Français
2,Incal (Avant l'),Science-fiction,"Une remarquable série de SF (peut être la meilleur). Commencé superbement, elle s'enlise un peut dans les cristaux mystiques (mais c'est Jodorowski ...)",NULL,AvantIncal.jpg,16,Français
3,Juan Solo,Roman graphique,"Juan Solo est une jeune frappe haineuse, un fils de flingue que son inextinguible ambition va mener au meurtre, à la richesse, puis à la rédemption. Un thriller moderne situé dans une cité fictive en Amérique du Sud. 
",NULL,juansolo.jpg,584,Français
4,Tueur (Le),Polar/Thriller,"C'est l'autobiographie d'un tueur professionnel.
Un homme solitaire et froid, méthodique et consciencieux, qui ne s'embarrasse pas de scrupules ni de regrets.
On partage ses pensées, on apprend à le connaître et on découvre sa vie à travers de nombreux flash-back, on écoute son monologue, on s’habitue à sa logique implacable de solitaire et on se prendrait presque de sympathie pour lui.

(c) Casterman",NULL,Tueur.jpg,532,Français
5,Pouvoir des innocents (Le),Polar/Thriller,"New York. Une énorme machination est à l’œuvre en pleine campagne électorale. Nul n’est plus touché par cette guerre secrète que Joshua Logan, qui détient à son insu la clé du complot. Enfermé dans un asile, il est torturé par la mafia. Mais il parvient à s’enfuir...

(c) Delcourt",NULL,pouvoirinnocentsp.jpg,666,Français
6,Outremangeur (L'),Roman graphique,"Richard Séléna est un super-flic dont la réputation n'est plus à faire. Il a pourtant un gros problème dans l'existence. Il pèse 160 kilos. Son cardiologue ne lui donne que deux ans à vivre, sa thérapie de groupe le laisse muet. Il dévore tout ce qui lui tombe sous la main pour calmer son désespoir.
Quand il rencontre la belle Elsa, Séléna lui impose un jeu troublant dont lui seul connaît la règle. Tout le monde à droit à une seconde chance.",NULL,outremangeur.jpg,969,Français
7,Sang des voyous (Le),Polar,"''Il les tua tous. Les pistolets sautaient dans ses mains comme des bêtes enragées et des fragments d'os volaient à travers la fumée. Les douilles de cuivre rebondissaient sur le carrelage et les jumelles hurlaient de terreur tandis que le sang des voyous éclaboussait leurs robes jaunes. Même quand ses armes furent vides, Louis continua de tirer.''Dans la France des années 50, la dérive sanglante d'un malfrat au crépuscule de sa vie. Une oeuvre au noir.(c) Casterman",NULL,SangDesVoyousLe_08092006.jpg,14026,Français
8,Paroles de Poilus,Historique,"La guerre 14-18 racontée à travers des lettres de « Poilus ». Les soldats, envoyés au front, décrivent leur enfer sous la plume aiguisée d’auteurs de renom.

Camaraderies, horreur de la guerre, situations absurdes… Paroles de Poilus capte des moments uniques, humains ou inhumains de ce terrible chapitre de l’Histoire. Cet ouvrage exceptionnel a réuni, pour ce témoignage poignant, de grands dessinateurs (Alary, Boucq, Gimenez, Lauffray…)",NULL,parolesdepoilus01p.jpg,14273,Français
9,Un homme est mort,Tranche de vie,"1950, la guerre est finie depuis cinq ans. De Brest il ne subsiste plus rien. Des bombardements massifs et des combats acharnés de presque un mois ont anéanti la ville, son port, son arsenal. Brest est un désert.
Il faut tout reconstruire.
1950 Brest est un immense chantier. De la ville fortifiée, aux ruelles étroites, une nouvelle ville va surgir, orthogonale, rectiligne, ordonnée, moderne, ce sera Brest-la-Blanche, qui deviendra très vite, Brest-la-grise.
Des milliers d'ouvriers travaillent sur les chantiers.1950. C'est la grève. Les chantiers sont immobilisés, les ouvriers de l'Arsenal rejoignent le mouvement. De violents affrontements surviennent lors des manifestations.
Le 17 avril, le drame se produit. La police tire sur la foule, blessant plus de vingt personnes et tuant un homme. Édouard Mazé.
Le lendemain, appelé par la CGT pour tourner un film sur le mouvement, René Vautier débarque clandestinement à Brest (il est alors recherché par la police suite à un premier film documentaire, Afrique 50, témoignage sans concessions du système colonial français d'après guerre).
René arrive dans une ville en état de siège. Le lendemain, ont lieu les obsèques d'Édouard Mazé.
Une foule immense, un peuple entier accompagnera son cercueil.",NULL,unhommeestmortp.jpg,14206,Français
10,Giuseppe Bergman,Aventure,"La série se poursuit aux éditions ''Les Humanoïdes Associés''
La série est reformatée et renumérotée",NULL,giuseppebergmanp.jpg,67,Français
