IdAlbum,Num,Titre,IdSerie,IdDessinateur,IdColoriste,IdScenariste,Editeur,Reference,Couverture,,Exlibris,NbPages,Planche,IdBEL,Exemplaires
2,3,Ce qui est en bas,1,3,4,2,Les Humanoïdes Associés,2-7316-0241-4,johndifoolt3cequiestenbas1983.jpg,,johndifool03v_520.jpg,60,NULL,520,4
3,5,5ème essence : galaxie qui songe,1,3,5,2,Les Humanoïdes Associés,2-7316-0531-6,johndifoolt5la5essence1galaxiequisonge1988.jpg,,johndifool05v_522.jpg,45,NULL,522,3
4,6,5ème essence : La planète Difool,1,3,5,2,Les Humanoïdes Associés,2-7316-0532-4,johndifoolt6la5essence2laplanetedifool1988.jpg,,johndifool06v_523.jpg,46,NULL,523,7
5,1,L'Incal Noir,1,3,6,2,Les Humanoïdes Associés,2-7316-0084-5,johndifoolt1lincalnoir1981.jpg,,johndifool01v_13464.jpg,50,NULL,13464,5
6,2,L'Incal lumière,1,3,6,2,Les Humanoïdes Associés,2-7316-0135-3,johndifoolt2lincallumiere1982.jpg,,johndifool02v_519.jpg,52,NULL,519,4
7,4,Ce qui est en haut,1,3,1,2,Les Humanoïdes Associés,2-7316-0361-5,johndifoolt4cequiestenhaut1985.jpg,,johndifool04v_521.jpg,57,NULL,521,2
8,1,Adieu le père,2,5,7,2,Les Humanoïdes Associés,2-73161-197-9,incalavant1.jpg,,NULL,47,NULL,14057,5
9,2,Détective privé de classe 'R',2,5,7,2,Les Humanoïdes Associés,2-7316-1198-7,Avantlincal02_01062002.jpg,,NULL,48,NULL,15872,1
10,3,Croot,2,5,8,2,Les Humanoïdes Associés,2-7316-1438-2,Avantlincal03_27062002.jpg,,NULL,50,NULL,17298,1
11,4,Anarcopsychotiques,2,5,8,2,Les Humanoïdes Associés,2-73161-439-0,incalavant4.jpg,,NULL,46,NULL,18044,4
12,5,"Ouisky, SPV & homéoputes",2,5,8,2,Les Humanoïdes Associés,2-7316-1440-4,incalavant5.jpg,,NULL,48,NULL,19289,2
13,6,Suicide allée,2,5,8,2,Les Humanoïdes Associés,2-7316-1441-2,incalavantcouv06a.jpg,,NULL,46,NULL,20865,3
14,1,Fils de Flingue,3,9,1,2,Les Humanoïdes Associés,2-73161-083-2,JuanSolo01.jpg,,juansolo01v.jpg,58,juansolo01p.jpg,2452,4
15,2,Les Chiens du pouvoir,3,9,10,2,Les Humanoïdes Associés,2-73161-134-0,JuanSolo02.jpg,,juansolo02v.jpg,52,juansolo02p.jpg,2453,6
16,3,La Chair et la gale,3,9,1,2,Les Humanoïdes Associés,2-7316-1253-3,JuanSolo03.jpg,,juansolo03v.jpg,52,juansolo03p.jpg,2454,7
18,4,Saint Salaud,3,9,9,2,Les Humanoïdes Associés,2-7316-1390-4,JuanSolo04.jpg,,juansolo04v.jpg,52,juansolo04p.jpg,2455,8
19,1,Long feu,4,12,12,11,Casterman,2-203-38916-8,tueur01aS040104_04012004.jpg,,NULL,62,tueur01p.jpg,37800,3
20,2,L'engrenage,4,12,12,11,Casterman,2-203-38941-9,TueurLe02.jpg,,tueur02v.jpg,62,tueur02p.jpg,2174,1
21,3,La dette,4,12,12,11,Casterman,2-203-38966-4,tueur03.jpg,,NULL,54,tueur03p.jpg,5533,2
22,4,Les liens du sang,4,12,12,11,Casterman,2-203-389982,tueur04.jpg,,tueur04v.jpg,54,tueur04p.jpg,17900,4
23,5,La mort dans l'âme,4,12,12,11,Casterman,2-203-38600-2,tueur05couv.jpg,,tueur05v.jpg,54,tueur05p.jpg,30401,5
24,6,Modus Vivendi,4,12,1,11,Casterman,978-2-203-00181-7,tueur06.jpg,,tueur06v.jpg,54,tueur06p.jpg,66991,2
25,1,Joshua,5,14,14,13,Delcourt,2-906187-87-9,pouvoirinnocents01acouv.jpg,,NULL,64,NULL,NULL,2
26,3,Providence,5,14,15,13,Delcourt,2-84055-077-6,pouvoirdesinnocents03couv.jpg,,NULL,56,pouvoirdesinnocents03p_8255.jpg,NULL,3
27,4,Jessica,5,14,15,13,Delcourt,2-84055-183-7,pouvoirinnocents04couv.jpg,,NULL,56,pouvoirdesinnocents04p_3095.jpg,NULL,2
28,NULL,L'outremangeur,6,17,17,16,Casterman,2-203-38913-3,outremangeur.jpg,,outremangeurv_6173.jpg,56,NULL,6173,3
29,NULL,Sang des voyous (Le),7,19,19,18,Casterman,2-203-36606-0,SangDesVoyousLe_08092006.jpg,,NULL,64,NULL,57840,4
30,NULL,Lettres et Carnets du front 1914-1918,8,20,20,20,Soleil Productions / France Inter,2-84946-597-6,parolesdepoilus.jpg,,parolesdepoilusv.jpg,79,parolesdepoilusp.jpg,58769,5
31,NULL,Un homme est mort,9,22,22,21,Futuropolis,2-75480-010-7,unhommeestmort01.jpg,,unhommeestmort01v.jpg,62,unhommeestmortp.jpg,58496,6
32,2,Jour de colère,10,23,24,23,Casterman,2-203-33415-0,giuseppebergman02.jpg,,NULL,166,NULL,7416,7
33,NULL,L'intégrale,11,25,24,25,Vents d'Ouest,2-7493-0181-5,ibicusint.jpg,,NULL,530,IbicusIntegralep_51168.jpg,51168,2
34,1,Quelque part entre les ombres,12,27,27,26,Dargaud,2-205-04965-8,Blacksad_01_15161.jpg,,blacksad01v.jpg,46,blacksad01p.jpg,15161,4
35,2,Arctic-Nation,12,27,27,26,Dargaud,2-205-05199-7,Blacksad_02_24600.jpg,,blacksad02v.jpg,54,blacksad02p.jpg,24600,5
36,3,Âme Rouge,12,27,27,26,Dargaud,2-205-05564-X,blacksadtome03.jpg,,Blacksad_03v_51823.jpg,54,blacksad03p.jpg,51823,6
37,1,Volume 1,13,29,1,28,Gallimard,2-07-057311-7,aya1couvrc9_51991.jpg,,aya01v.jpg,96,ayadeyopougon01p.jpg,51991,2
39,1,Aussi loin que je me rappelle...,15,33,33,32,Casterman,2-203-36501-3,anitabombacou01.JPG,,anita01v.jpg,44,NULL,727,4
40,2,C'est pas parceque je suis pauvre...,15,33,33,32,Casterman,2-203-36502-1,anitabombacou02.JPG,,NULL,44,NULL,728,3
41,3,"Un jour, j'ai arrêté de bosser...",15,33,1,32,Casterman,2-203-36503-X,anitabombacouv03.jpg,,anitabomba03v.jpg,44,NULL,817,2
42,4,La vie est trop courte ...,15,33,33,32,Casterman,2-203-36504-8,anitabombacouv04.jpg,,anitabomba04v.jpg,44,NULL,1078,2
43,1,Princesse Salma,16,35,35,34,Vents d'Ouest,2-86967-751-0,kucek01a.jpg,,kucek01av.jpg,46,kucek1a_p.jpg,735,5
44,2,Kanchack le fourbe,16,35,35,34,Vents d'Ouest,2-86967-752-9,kucek02a.jpg,,kucek02av.jpg,46,kucek02a_p.jpg,736,6
45,3,L'élu,16,35,35,34,Vents d'Ouest,2-86967-753-7,kucek03a.jpg,,kucek03av.jpg,46,kucek03a_p.jpg,896,7
46,1,Où le regard ne porte pas...,17,35,36,34,Dargaud,2-205-05092-3,ouleregardneportepascouv01.jpg,,ouleregardneportepas01v.jpg,94,ouleregardneportepas01p_32202.jpg,32202,1
47,2,Où le regard ne porte pas...,17,35,36,34,Dargaud,2-205-05098-2,OuLeRegardNePortePas02.jpg,,ouleregardneportepas02v.jpg,96,ouleregardneportepas02p_37938.jpg,37938,2
48,1,Un ventre aride,18,38,1,37,Glénat,2-7234-3256-4,hariticouv01.jpg,,hariti01-v_6474.jpg,46,NULL,6474,3
49,2,Le fruit de nos entrailles,18,38,1,37,Glénat,2-7234-3538-5,hariticouv02.JPG,,hariti02-v_23646.jpg,46,NULL,23646,2
50,3,Toutes les sèves de l'aurore,18,38,1,37,Glénat,2-7234-4327-2,hariti03_39329.jpg,,hariti03-v_39329.jpg,46,NULL,39329,1
51,NULL,Secteur 7,19,40,40,39,Glénat,2-7234-4863-0,Secteur7_09122005.jpg,,NULL,56,NULL,52530,5
52,NULL,Mystère Ovale,20,41,41,41,Glénat,2-7234-3963-1,MystereOvale_09042004.jpg,,NULL,54,NULL,34641,3
53,1,Rien ou presque,21,42,42,42,Glénat,2-7234-3672-1,akarus01.jpg,,NULL,52,NULL,22775,4
54,2,"Dors, Petite Sœur",21,42,42,42,Glénat,2-7234-4087-7,akarus02_30102003.jpg,,NULL,54,NULL,30575,5
55,1,L'épouvantail pointeur,22,44,1,43,Glénat,2-7234-3740-X,epouvpoint.jpg,,epouvantailpointeurv_21444.jpg,54,NULL,21444,6
56,1,La chrysalide diaprée,23,46,46,45,Vents d'Ouest,2-86967-551-8,mangecoeur01a.JPG,,NULL,48,NULL,37942,7
57,2,Dans le jeu des miroirs,23,46,46,45,Vents d'Ouest,2-86967-552-6,mangecoeur02a.JPG,,NULL,48,NULL,35166,4
58,3,Le Rêve d'Argemme,23,46,46,45,Vents d'Ouest,2-86967-532-1,mangecoeur03a.JPG,,NULL,48,NULL,37941,3
60,NULL,Black Hole,26,50,24,50,Delcourt,2-7560-0379-4,BlackHolein_11112006.jpg,,blackholeintv_59088.jpg,361,NULL,59088,7
61,5,Spirit,27,51,51,51,Les Humanoïdes Associés,2-7316-0045-4,spiritle05.jpg,,spiritle05v.jpg,60,NULL,18728,5
62,1,The hard goodbye,28,52,24,52,Dark horse books,1-593-07293-7,SinCity1_16032008_163359.jpg,,SinCity1_16032008_163359.jpg,200,NULL,NULL,4
63,4,That yellow bastard,28,52,24,52,Dark horse books,1-593-07296-1,SinCity4_16032008_163353.jpg,,SinCity4_16032008_163353.jpg,223,AlbsinCity4_16032008_163353.jpg,NULL,2
